top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 246 total,   1 em exec., 245 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,2 us,  2,2 sy,  0,0 ni, 93,3 id,  0,0 wa,  0,0 hi,  2,2 si,  0,0 st 
GB mem :      5,8 total,      0,5 free,      1,6 used,      4,0 buff/cache     
GB swap:      4,0 total,      4,0 free,      0,0 used.      4,2 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   3185 root      20   0  234,4m  10,9m   9,6m S   0,0   0,2   0:00.01 gdm-ses+
   4255 root      20   0   14,9m  10,8m   9,0m S   0,0   0,2   0:00.02 sshd
   3577 aluno     20   0  382,4m  10,4m   9,2m S   0,0   0,2   0:00.03 gsd-sou+
   3209 aluno     20   0  306,7m  10,0m   9,0m S   0,0   0,2   0:00.05 gnome-k+
   3178 root      20   0  305,2m   9,8m   8,7m S   0,0   0,2   0:00.02 gdm3
   3789 aluno     20   0  377,9m   9,8m   8,7m S   0,0   0,2   0:00.52 goa-ide+
   3903 aluno     20   0  593,1m   9,7m   8,2m S   0,0   0,2   0:00.14 gvfsd-t+
   3534 root      20   0  307,0m   9,3m   7,8m S   0,0   0,2   0:00.10 upowerd
    956 root      20   0   17,7m   8,9m   7,8m S   0,0   0,2   0:04.07 systemd+
   3576 aluno     20   0  374,8m   8,8m   7,9m S   0,0   0,1   0:00.01 gsd-sma+
    353 root      20   0   30,2m   8,7m   5,0m S   0,0   0,1   0:00.52 systemd+
   3548 aluno     20   0  446,2m   8,6m   7,7m S   0,0   0,1   0:00.96 gsd-hou+
    947 root      20   0  303,9m   8,4m   7,4m S   0,0   0,1   0:02.17 account+
   3344 aluno     20   0  304,7m   8,3m   7,5m S   0,0   0,1   0:00.03 gvfsd
   3790 aluno     20   0  377,9m   8,3m   7,2m S   0,0   0,1   0:04.41 gvfs-af+
   4253 root      20   0   11,7m   8,2m   7,1m S   0,0   0,1   0:00.00 sshd
   3861 aluno     20   0  229,1m   7,9m   7,1m S   0,0   0,1   0:00.56 ibus-en+
   3389 aluno     20   0  374,0m   7,9m   7,1m S   0,0   0,1   0:00.01 at-spi-+
   3285 aluno     20   0  593,8m   7,8m   7,1m S   0,0   0,1   0:00.05 xdg-doc+
    876 systemd+  20   0   88,9m   7,8m   6,8m S   0,0   0,1   0:00.33 systemd+
   3732 aluno     20   0  301,2m   7,8m   7,1m S   0,0   0,1   0:00.00 ibus-dc+
   3462 aluno     20   0  230,5m   7,7m   7,0m S   0,0   0,1   0:00.00 at-spi2+
   4202 root      20   0  303,9m   7,7m   7,0m S   0,0   0,1   0:00.03 power-p+
    469 systemd+  20   0   17,2m   7,6m   6,8m S   0,0   0,1   0:17.52 systemd+
   3352 aluno     20   0  446,9m   7,6m   6,8m S   0,0   0,1   0:00.01 gvfsd-f+
   3610 aluno     20   0  298,3m   7,6m   6,2m S   0,0   0,1   0:00.02 gsd-dis+
   3743 aluno     20   0  300,9m   7,6m   6,9m S   0,0   0,1   0:00.02 ibus-po+
    926 avahi     20   0   11,3m   7,6m   4,2m S   0,0   0,1   6:44.19 avahi-d+
