top - 09:28:14 up 23:25,  2 users,  load average: 0,07, 0,06, 0,05
Tarefas: 249 total,   2 em exec., 247 dormindo,   0 parado,   0 zumbi
%CPU(s):  2,4 us,  0,0 sy,  0,0 ni, 97,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :   5920,9 total,    493,6 free,   1660,4 used,   4088,6 buff/cache     
MB swap:   4096,0 total,   4095,4 free,      0,6 used.   4260,6 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   3534 root      20   0  314332   9552   7996 S   0,0   0,2   0:00.10 upowerd
    956 root      20   0   18148   9164   8036 S   0,0   0,2   0:04.07 systemd+
   3576 aluno     20   0  383752   9060   8064 S   0,0   0,1   0:00.01 gsd-sma+
    353 root      20   0   30880   8900   5140 S   0,0   0,1   0:00.52 systemd+
   3548 aluno     20   0  456924   8840   7872 S   0,0   0,1   0:00.96 gsd-hou+
    947 root      20   0  311236   8616   7620 S   0,0   0,1   0:02.17 account+
   3344 aluno     20   0  312024   8536   7632 S   0,0   0,1   0:00.03 gvfsd
   3790 aluno     20   0  386964   8512   7416 S   0,0   0,1   0:04.41 gvfs-af+
   4253 root      20   0   12028   8364   7220 S   0,0   0,1   0:00.00 sshd
   3861 aluno     20   0  234636   8096   7296 S   0,0   0,1   0:00.56 ibus-en+
   3389 aluno     20   0  382948   8052   7264 S   0,0   0,1   0:00.01 at-spi-+
   3285 aluno     20   0  608016   8012   7220 S   0,0   0,1   0:00.05 xdg-doc+
    876 systemd+  20   0   91060   7988   7012 S   0,0   0,1   0:00.33 systemd+
   3732 aluno     20   0  308460   7988   7272 S   0,0   0,1   0:00.00 ibus-dc+
   3462 aluno     20   0  236076   7928   7168 S   0,0   0,1   0:00.00 at-spi2+
   4202 root      20   0  311200   7904   7144 S   0,0   0,1   0:00.03 power-p+
    469 systemd+  20   0   17572   7828   6912 S   0,0   0,1   0:17.52 systemd+
   3352 aluno     20   0  457576   7796   6976 S   0,0   0,1   0:00.01 gvfsd-f+
   3610 aluno     20   0  305500   7776   6348 S   0,0   0,1   0:00.02 gsd-dis+
   3743 aluno     20   0  308152   7760   7092 S   0,0   0,1   0:00.02 ibus-po+
    926 avahi     20   0   11568   7756   4284 S   0,0   0,1   6:44.19 avahi-d+
    927 message+  20   0   12320   7632   4740 S   0,0   0,1   0:41.54 dbus-da+
   3573 aluno     20   0  528872   7588   6740 S   0,0   0,1   0:00.10 gsd-rfk+
   4340 aluno     20   0   15440   7552   5300 S   0,0   0,1   0:12.22 sshd
   3540 aluno     20   0  381452   7488   6844 S   0,0   0,1   0:00.03 gsd-a11+
    949 root      20   0  307384   7428   6720 S   0,0   0,1   0:00.08 switche+
   3822 aluno     20   0  308316   7312   6560 S   0,0   0,1   0:00.01 gvfs-gp+
   3329 aluno     20   0  162660   7100   6404 S   0,0   0,1   0:00.00 gcr-ssh+
  57604 lp        20   0   16844   7088   6172 S   0,0   0,1   0:00.00 dbus
   3806 aluno     20   0  307356   7068   6416 S   0,0   0,1   0:00.01 gvfs-go+
   3815 aluno     20   0  307348   7000   6372 S   0,0   0,1   0:00.00 gvfs-mt+
   4001 aluno     20   0  233932   6952   6364 S   0,0   0,1   0:00.01 gvfsd-m+
   4633 aluno     20   0    9872   6888   4328 S   0,0   0,1   0:00.47 bash
   3218 aluno     20   0   10884   6832   4856 S   0,0   0,1   0:00.60 dbus-da+
   1590 root      20   0   87824   6780   3612 S   0,0   0,1   0:00.12 smbd-no+
   3574 aluno     20   0  307144   6736   6168 S   0,0   0,1   0:00.02 gsd-scr+
   3244 aluno     20   0  233416   6712   6192 S   0,0   0,1   0:00.00 gdm-way+
   3302 aluno     20   0  307032   6708   6168 S   0,0   0,1   0:00.00 xdg-per+
   1008 root      20   0   17392   6704   5828 S   0,0   0,1   0:00.47 wpa_sup+
   4212 aluno     20   0    9496   6552   4192 S   0,0   0,1   0:00.08 bash
